Episode,Total Reward,Steps
1,-2820,2904
2,-889,973
3,-462,546
4,-596,680
5,-545,629
6,-864,948
7,-608,692
8,-647,731
9,-1580,1664
10,-599,683
11,-422,506
12,-663,747
13,-1130,1214
14,-585,669
15,-486,570
16,-416,500
17,-802,886
18,-501,585
19,-250,334
20,-202,286
21,-525,609
22,-677,761
23,-401,485
24,-396,480
25,-305,389
26,-214,298
27,-449,533
28,-281,365
29,-231,315
30,-450,534
31,-269,353
32,-326,410
33,-261,345
34,-359,443
35,-400,484
36,-353,437
37,-203,287
38,-274,358
39,-413,497
40,-277,361
41,-277,361
42,-220,304
43,-235,319
44,-195,279
45,-228,312
46,-236,320
47,-323,407
48,-188,272
49,-218,302
50,-242,326
51,-139,223
52,-113,197
53,-199,283
54,-186,270
55,-305,389
56,-243,327
57,-145,229
58,-172,256
59,-126,210
60,-178,262
61,-169,253
62,-151,235
63,-217,301
64,-170,254
65,-216,300
66,-268,352
67,-122,206
68,-168,252
69,-182,266
70,-132,216
71,-211,295
72,-123,207
73,-219,303
74,-117,201
75,-64,148
76,-172,256
77,-154,238
78,-125,209
79,-138,222
80,-91,175
81,-165,249
82,-116,200
83,-207,291
84,-160,244
85,-200,284
86,-67,151
87,-74,158
88,-103,187
89,-153,237
90,-139,223
91,-108,192
92,-82,166
93,-120,204
94,-68,152
95,-197,281
96,-80,164
97,-168,252
98,-122,206
99,-89,173
100,-85,169
101,-68,152
102,-112,196
103,-122,206
104,-88,172
105,-66,150
106,-119,203
107,-97,181
108,-107,191
109,-132,216
110,-92,176
111,-83,167
112,-55,139
113,-61,145
114,-68,152
115,-119,203
116,-128,212
117,-78,162
118,-95,179
119,-150,234
120,-44,128
121,-75,159
122,-88,172
123,-84,168
124,-90,174
125,-80,164
126,-139,223
127,-27,111
128,-76,160
129,-45,129
130,-63,147
131,-75,159
132,-61,145
133,-112,196
134,-52,136
135,-45,129
136,-77,161
137,-97,181
138,-95,179
139,-93,177
140,-32,116
141,-45,129
142,-127,211
143,-77,161
144,-52,136
145,-105,189
146,-20,104
147,-48,132
148,-51,135
149,-44,128
150,-98,182
151,-72,156
152,-79,163
153,-63,147
154,-79,163
155,-36,120
156,-48,132
157,-51,135
158,-67,151
159,-33,117
160,-49,133
161,-51,135
162,-41,125
163,-66,150
164,-50,134
165,-52,136
166,-41,125
167,-74,158
168,-65,149
169,-39,123
170,-31,115
171,-40,124
172,-33,117
173,-83,167
174,-34,118
175,-43,127
176,-58,142
177,-42,126
178,-60,144
179,-74,158
180,-54,138
181,-28,112
182,-45,129
183,-61,145
184,-12,96
185,-46,130
186,-24,108
187,-30,114
188,-40,124
189,-46,130
190,-27,111
191,-28,112
192,-55,139
193,-42,126
194,-52,136
195,-47,131
196,-36,120
197,-51,135
198,-28,112
199,-23,107
200,-75,159
201,-19,103
202,-24,108
203,-16,100
204,-39,123
205,-18,102
206,-37,121
207,-42,126
208,-42,126
209,-22,106
210,-25,109
211,-37,121
212,-26,110
213,-35,119
214,-44,128
215,-43,127
216,-27,111
217,-27,111
218,-34,118
219,-41,125
220,-17,101
221,-24,108
222,-46,130
223,-17,101
224,-43,127
225,-18,102
226,-3,87
227,-27,111
228,-53,137
229,-27,111
230,-27,111
231,-38,122
232,-14,98
233,-12,96
234,-19,103
235,-26,110
236,-27,111
237,-8,92
238,-23,107
239,-30,114
240,-18,102
241,-46,130
242,-16,100
243,-27,111
244,-27,111
245,-17,101
246,-3,87
247,-16,100
248,-20,104
249,-8,92
250,-8,92
251,-40,124
252,-15,99
253,-27,111
254,-40,124
255,-30,114
256,-36,120
257,-5,89
258,-24,108
259,-17,101
260,-20,104
261,-19,103
262,-12,96
263,-9,93
264,-22,106
265,-25,109
266,-15,99
267,-21,105
268,-15,99
269,-22,106
270,-8,92
271,-17,101
272,-6,90
273,-9,93
274,-18,102
275,-11,95
276,-12,96
277,-26,110
278,-2,86
279,-20,104
280,-21,105
281,-17,101
282,-6,90
283,-12,96
284,-13,97
285,-8,92
286,-18,102
287,-20,104
288,-8,92
289,-12,96
290,-7,91
291,1,83
292,-12,96
293,3,81
294,-21,105
295,-11,95
296,-3,87
297,-14,98
298,-5,89
299,-1,85
300,-27,111
301,1,83
302,-11,95
303,-25,109
304,-16,100
305,-15,99
306,-2,86
307,-16,100
308,-7,91
309,-1,85
310,-4,88
311,-11,95
312,-6,90
313,-5,89
314,1,83
315,-11,95
316,-7,91
317,4,80
318,1,83
319,-9,93
320,-8,92
321,6,78
322,-11,95
323,-8,92
324,-16,100
325,1,83
326,1,83
327,-5,89
328,-4,88
329,3,81
330,-5,89
331,4,80
332,9,75
333,1,83
334,4,80
335,-3,87
336,1,83
337,-4,88
338,-6,90
339,-16,100
340,4,80
341,-8,92
342,2,82
343,-8,92
344,-7,91
345,-3,87
346,1,83
347,-6,90
348,1,83
349,-2,86
350,7,77
351,-5,89
352,-8,92
353,-2,86
354,0,84
355,5,79
356,1,83
357,7,77
358,-5,89
359,1,83
360,-1,85
361,-1,85
362,4,80
363,3,81
364,-3,87
365,3,81
366,6,78
367,-6,90
368,-3,87
369,-5,89
370,7,77
371,8,76
372,-2,86
373,4,80
374,3,81
375,2,82
376,5,79
377,0,84
378,1,83
379,2,82
380,12,72
381,11,73
382,7,77
383,5,79
384,7,77
385,10,74
386,11,73
387,4,80
388,5,79
389,5,79
390,4,80
391,5,79
392,4,80
393,8,76
394,9,75
395,2,82
396,3,81
397,0,84
398,5,79
399,8,76
400,12,72
401,1,83
402,10,74
403,5,79
404,3,81
405,2,82
406,3,81
407,2,82
408,10,74
409,4,80
410,1,83
411,1,83
412,8,76
413,8,76
414,2,82
415,4,80
416,-2,86
417,7,77
418,3,81
419,9,75
420,6,78
421,5,79
422,8,76
423,8,76
424,3,81
425,10,74
426,-7,91
427,2,82
428,0,84
429,6,78
430,1,83
431,0,84
432,1,83
433,1,83
434,10,74
435,0,84
436,9,75
437,5,79
438,3,81
439,2,82
440,1,83
441,6,78
442,9,75
443,5,79
444,7,77
445,8,76
446,-2,86
447,10,74
448,4,80
449,6,78
450,6,78
451,7,77
452,3,81
453,8,76
454,3,81
455,5,79
456,-2,86
457,5,79
458,6,78
459,4,80
460,0,84
461,7,77
462,8,76
463,4,80
464,6,78
465,4,80
466,4,80
467,4,80
468,12,72
469,9,75
470,-1,85
471,4,80
472,10,74
473,4,80
474,5,79
475,-1,85
476,5,79
477,-7,91
478,10,74
479,5,79
480,4,80
481,1,83
482,3,81
483,1,83
484,8,76
485,8,76
486,-1,85
487,10,74
488,9,75
489,2,82
490,7,77
491,8,76
492,1,83
493,6,78
494,1,83
495,7,77
496,2,82
497,1,83
498,3,81
499,4,80
500,5,79
501,6,78
502,3,81
503,-1,85
504,12,72
505,5,79
506,4,80
507,4,80
508,6,78
509,2,82
510,-2,86
511,8,76
512,5,79
513,10,74
514,2,82
515,0,84
516,-3,87
517,4,80
518,9,75
519,4,80
520,9,75
521,-1,85
522,3,81
523,9,75
524,9,75
525,9,75
526,6,78
527,3,81
528,1,83
529,8,76
530,-2,86
531,6,78
532,3,81
533,-1,85
534,4,80
535,5,79
536,10,74
537,3,81
538,4,80
539,4,80
540,2,82
541,-2,86
542,-3,87
543,6,78
544,4,80
545,8,76
546,2,82
547,8,76
548,8,76
549,6,78
550,8,76
551,0,84
552,10,74
553,7,77
554,6,78
555,9,75
556,4,80
557,8,76
558,2,82
559,4,80
560,8,76
561,3,81
562,10,74
563,10,74
564,5,79
565,1,83
566,4,80
567,7,77
568,2,82
569,8,76
570,3,81
571,10,74
572,10,74
573,8,76
574,4,80
575,5,79
576,-3,87
577,10,74
578,8,76
579,2,82
580,5,79
581,4,80
582,4,80
583,6,78
584,7,77
585,1,83
586,1,83
587,-4,88
588,7,77
589,-1,85
590,-3,87
591,8,76
592,4,80
593,2,82
594,7,77
595,5,79
596,-6,90
597,6,78
598,2,82
599,0,84
600,3,81
601,7,77
602,6,78
603,10,74
604,6,78
605,6,78
606,10,74
607,0,84
608,3,81
609,-1,85
610,4,80
611,9,75
612,2,82
613,2,82
614,1,83
615,8,76
616,7,77
617,-4,88
618,3,81
619,10,74
620,-7,91
621,4,80
622,7,77
623,3,81
624,2,82
625,7,77
626,5,79
627,5,79
628,7,77
629,-1,85
630,1,83
631,3,81
632,-2,86
633,3,81
634,7,77
635,6,78
636,6,78
637,0,84
638,2,82
639,-1,85
640,8,76
641,2,82
642,7,77
643,2,82
644,7,77
645,2,82
646,0,84
647,6,78
648,7,77
649,2,82
650,4,80
651,-3,87
652,8,76
653,6,78
654,4,80
655,6,78
656,3,81
657,-1,85
658,8,76
659,8,76
660,-1,85
661,6,78
662,8,76
663,12,72
664,3,81
665,-6,90
666,4,80
667,6,78
668,2,82
669,2,82
670,5,79
671,5,79
672,7,77
673,-5,89
674,-2,86
675,3,81
676,-2,86
677,4,80
678,10,74
679,10,74
680,6,78
681,4,80
682,0,84
683,2,82
684,9,75
685,3,81
686,8,76
687,5,79
688,9,75
689,0,84
690,0,84
691,2,82
692,0,84
693,-1,85
694,9,75
695,-1,85
696,0,84
697,-2,86
698,7,77
699,0,84
700,10,74
701,5,79
702,5,79
703,2,82
704,8,76
705,0,84
706,-3,87
707,-3,87
708,10,74
709,-4,88
710,-3,87
711,2,82
712,5,79
713,2,82
714,2,82
715,2,82
716,6,78
717,4,80
718,7,77
719,6,78
720,6,78
721,6,78
722,6,78
723,4,80
724,2,82
725,8,76
726,-5,89
727,10,74
728,9,75
729,4,80
730,3,81
731,-4,88
732,5,79
733,-1,85
734,-4,88
735,6,78
736,4,80
737,-7,91
738,1,83
739,3,81
740,5,79
741,5,79
742,10,74
743,8,76
744,6,78
745,6,78
746,-2,86
747,6,78
748,1,83
749,10,74
750,5,79
751,10,74
752,8,76
753,1,83
754,12,72
755,8,76
756,-3,87
757,7,77
758,-3,87
759,6,78
760,1,83
761,1,83
762,5,79
763,0,84
764,-4,88
765,5,79
766,5,79
767,8,76
768,6,78
769,12,72
770,2,82
771,2,82
772,9,75
773,8,76
774,10,74
775,2,82
776,0,84
777,10,74
778,3,81
779,8,76
780,2,82
781,-3,87
782,4,80
783,3,81
784,6,78
785,2,82
786,12,72
787,9,75
788,2,82
789,8,76
790,0,84
791,-1,85
792,9,75
793,-1,85
794,3,81
795,1,83
796,8,76
797,1,83
798,4,80
799,4,80
800,8,76
801,7,77
802,2,82
803,5,79
804,6,78
805,8,76
806,9,75
807,10,74
808,7,77
809,4,80
810,8,76
811,9,75
812,0,84
813,8,76
814,5,79
815,5,79
816,-1,85
817,8,76
818,8,76
819,4,80
820,4,80
821,4,80
822,1,83
823,2,82
824,9,75
825,2,82
826,8,76
827,12,72
828,9,75
829,4,80
830,12,72
831,10,74
832,9,75
833,6,78
834,3,81
835,5,79
836,2,82
837,2,82
838,3,81
839,0,84
840,3,81
841,8,76
842,10,74
843,0,84
844,5,79
845,-3,87
846,12,72
847,-2,86
848,6,78
849,2,82
850,1,83
851,4,80
852,6,78
853,4,80
854,8,76
855,6,78
856,6,78
857,7,77
858,6,78
859,9,75
860,10,74
861,6,78
862,8,76
863,-3,87
864,4,80
865,6,78
866,3,81
867,12,72
868,3,81
869,7,77
870,1,83
871,1,83
872,6,78
873,-4,88
874,1,83
875,0,84
876,3,81
877,8,76
878,7,77
879,3,81
880,-1,85
881,4,80
882,-1,85
883,10,74
884,1,83
885,10,74
886,5,79
887,1,83
888,12,72
889,8,76
890,8,76
891,6,78
892,12,72
893,6,78
894,4,80
895,10,74
896,4,80
897,1,83
898,-9,93
899,4,80
900,3,81
901,8,76
902,2,82
903,0,84
904,4,80
905,7,77
906,7,77
907,9,75
908,6,78
909,10,74
910,12,72
911,7,77
912,0,84
913,3,81
914,8,76
915,6,78
916,6,78
917,0,84
918,2,82
919,4,80
920,5,79
921,6,78
922,5,79
923,6,78
924,6,78
925,7,77
926,3,81
927,0,84
928,0,84
929,4,80
930,9,75
931,-1,85
932,2,82
933,-3,87
934,6,78
935,5,79
936,4,80
937,8,76
938,1,83
939,11,73
940,5,79
941,7,77
942,7,77
943,6,78
944,-1,85
945,9,75
946,10,74
947,7,77
948,4,80
949,4,80
950,-2,86
951,0,84
952,8,76
953,9,75
954,1,83
955,-6,90
956,10,74
957,8,76
958,2,82
959,6,78
960,-2,86
961,5,79
962,9,75
963,5,79
964,8,76
965,5,79
966,5,79
967,5,79
968,6,78
969,1,83
970,2,82
971,2,82
972,6,78
973,6,78
974,3,81
975,4,80
976,6,78
977,1,83
978,2,82
979,2,82
980,4,80
981,8,76
982,3,81
983,10,74
984,6,78
985,5,79
986,6,78
987,10,74
988,7,77
989,10,74
990,8,76
991,-2,86
992,7,77
993,4,80
994,3,81
995,5,79
996,3,81
997,-3,87
998,3,81
999,3,81
1000,6,78
